timestamp,puechabon_rainfall (mm),puechabon_evapotranspiration (mm),puechabon_air_temperature_average (°C),puechabon_soil_temperature (°C)
2006-02-18 00:00:00,41,29.697248465459,8.28894261774193,7.55206384408602
2006-03-18 00:00:00,16.6,43.3278421650372,12.9987376933333,11.9691481481481
2006-05-13 01:00:00,18.2,50.4225001087297,16.3209927096774,15.1020990143369
2006-06-10 01:00:00,1.4,45.0977042427734,21.1216699833333,18.6680462962963
2006-07-08 01:00:00,9.6,25.5961953844004,26.3981207096774,23.0412343189964
2006-08-05 01:00:00,25.4,23.2660392109712,21.0620528548387,20.7068167562724
2006-09-02 01:00:00,199.4,27.721955279958,19.5413361166667,18.7140787037037
2006-09-30 01:00:00,167.5,29.0485931445501,16.0194219354839,15.9671012544803
2006-10-28 01:00:00,36.6,27.8393709206441,11.6527514416667,12.6445092592593
2006-11-25 00:00:00,26.9,14.4929387942866,6.54834128709677,8.11245161290323
2006-12-23 00:00:00,25.25,20.2370775650048,7.61070480806452,8.12572827060932
2007-01-20 00:00:00,61.812,20.0234970842614,7.99131709464286,7.61043303571429
2007-02-17 00:00:00,5.656,40.8862469195915,9.62514120483871,9.64963844086022
2007-03-17 00:00:00,77.164,59.9235816666565,14.9102225433333,13.033
2007-05-12 01:00:00,119,78.5310503788877,16.4767797741936,15.3103853046595
2007-06-09 01:00:00,93.3,89.2591844379746,19.6735387166667,17.8083449074074
2007-07-07 01:00:00,7.9,67.7280185072235,21.6232353064516,19.6985528673835
2007-08-04 01:00:00,13.9,30.0424046508683,21.5217028548387,20.0087163978495
2007-09-01 01:00:00,104.2,27.9519155775857,18.0881532166667,18.1196967592593
2007-09-29 01:00:00,109.1,39.6446928976661,13.6301584887097,14.0146348566308
2007-10-27 01:00:00,42.2,28.2318618531137,8.33182466,9.44388912037037
2007-11-24 00:00:00,22.018,24.0024816930199,5.95388881129032,6.91090793010753
2007-12-22 00:00:00,169.1,23.1036624818605,7.37538917580645,7.23081989247312
2008-01-19 00:00:00,60.8,19.7266169301504,7.6053721137931,7.09469085249042
2008-02-16 00:00:00,31.3,32.8590948361354,8.84403751612903,8.65439628136201
2008-04-12 01:00:00,96.2,45.3080426723627,11.6252171733333,10.6992731481481
2008-05-10 01:00:00,135.9,51.2050602769195,15.7619397903226,14.2866375448029
2008-06-07 01:00:00,122.616,88.3158749444357,20.2560837,17.8689861111111
2008-07-05 01:00:00,15.15,75.9532559234675,22.4489193064516,20.748252688172
